FSA,age,income,education,lib_like,cpc_like,ndp_like,grn_like,bq_like,ppc_like,latitude,longitude
T0A,42.2,2.6,5.8,16.3,55.2,39.8,22.2,10.3,26,54.766,-111.7174
T0B,48.7,2.8,6.2,12.7,64,16.6,24.4,15.8,39.3,53.0727,-111.5816
T0C,45.8,3.4,5.8,20.4,41.8,46.2,43.2,18,24.5,52.1431,-111.6941
T0E,44.1,2.8,6.5,27.2,38.5,36.5,20.6,8.3,17.6,53.6758,-115.0948
T0G,50,1,6,33,29,29,14,6,22,55.6993,-114.4529
T0H,49.5,2.8,6.2,6.7,48,15.4,10.5,1.9,12.3,57.5403,-116.9153
T0J,59.4,2.2,7.2,4.4,74,12,16,2.4,23,50.9944,-111.4632
T0K,57.8,2.2,6.5,9.5,73,1.8,24.8,31.2,25.5,49.4721,-112.2408
T0L,54.2,2,6.5,47.7,16.8,58.2,36.2,3.2,7.2,50.6314,-114.4089
T0M,52.6,3.8,6.8,22.2,57.2,36.8,26.6,12,24.5,51.9552,-114.8691
T0P,47,2,4,52,68,81,13,25,19,58.2626,-110.7467
T1A,54.8,3.5,6.5,26.7,62.9,27.4,17.5,18,22.7,50.0816,-110.5788
T1B,49.1,3.5,6,33.6,70,44.5,27.4,17.8,34.1,49.835,-110.5203
T1C,58.5,4,7,49,48,42.5,0.5,0.5,2.5,50.0774,-110.6911
T1G,44.3,2.3,5,53.7,58.7,53,20.7,18.3,33,49.787,-112.146
T1H,51.1,2.2,7.1,18.2,40,31.1,28.6,6.6,25,49.7,-112.8186
T1J,54.2,3,7,42.8,50.5,50,34.7,11.7,24.7,49.6581,-112.7484
T1K,56.9,3.5,7.1,40.2,48.9,45.6,32.4,13.9,18.2,49.6511,-112.8351
T1L,38,3.5,8,83.5,21,36,23,31.5,40,51.1762,-115.5698
T1M,30,3,9,70,12,100,37,11,28,49.7167,-112.6185
T1P,53.9,3.2,6.4,15,57.1,17.7,14.4,12.6,13,51.0501,-113.3852
T1R,52.7,5,6,11,72.3,50.3,19.3,1,30,50.5834,-111.8851
T1S,39.1,4.6,6.9,26.3,73.1,35.6,27.3,13.1,15.3,50.7362,-113.9695
T1V,61.3,3.3,4,49,1.7,60,7.3,4.7,6.3,50.5834,-113.8687
T1W,58.8,3.4,8.4,41.2,35.2,39.8,34.4,10.6,18.4,51.0876,-115.3461
T1X,44.3,2.8,6.2,50.9,56.8,48.3,45.2,45.3,54,51.0334,-113.8187
T1Y,41.4,2.9,7.1,54.1,46.4,53.7,45.5,28.3,29.1,51.0823,-113.9578
T2A,40.7,3.5,6.1,25.5,55,29.6,38.8,20.3,31.8,51.0494,-113.9564
T2B,45.2,2.2,6.6,21.1,57.8,25.1,38.4,26.8,39.1,51.0209,-113.981
T2C,42.2,3.9,7.5,37.6,48.9,39.9,36.2,12.6,24.1,50.987,-113.9634
T2E,45.2,2.9,7.3,35.2,34.3,47.3,36.8,24.2,21.7,51.0876,-114.0214
T2G,50.6,2.4,8.3,44.1,48.1,46.9,30.4,18,23.4,51.0272,-114.0349
T2H,39.5,3,7.5,52,25.5,64,48,26,32.5,50.9894,-114.052
T2J,50.1,3.3,7.3,28.4,41.2,22.3,26,13.7,28.1,50.8476,-114.1958
T2K,43.4,3.1,7.2,37.6,44,34.4,21.9,16.2,21.9,51.1111,-114.0477
T2L,33,5.7,7.7,51,63.3,37.3,34.7,31.3,28,51.1047,-114.1148
T2M,49,2,8,38.5,38.5,56.5,49,33.5,37,51.133,-113.856
T2N,46.8,4,7.4,48,43.4,51.1,41.7,25.2,38.1,51.0621,-114.1159
T2P,35.3,4.3,8.2,55.3,65.3,58,47.6,50.9,59.9,51.0708,-113.6931
T2R,43.8,3.4,8.4,62.8,50.2,68.8,47.5,53.9,45.8,51.0412,-114.0762
T2S,32,5,4,40,65,40,52,56,66,51.0233,-114.071
T2T,35.9,2.9,7.9,27.7,48.4,42.8,34.3,31.8,29.2,51.0242,-114.1004
T2V,53.6,3.8,8,36.4,36.5,48.2,36.2,21.5,25.4,50.9819,-114.1004
T2W,54.4,3.9,7.8,23.1,48.5,31.2,22,8.1,16.5,50.9514,-114.3591
T2X,46.1,2.9,7.5,33.3,47.5,41.9,19.6,6.9,16.1,50.8837,-114.0326
T2Y,47.7,3.1,7.3,26.9,59.2,40.8,28.9,27.5,45.8,50.9093,-114.1028
T2Z,44.1,4,7.8,41.6,43.9,44.4,19.8,10.2,18.8,50.9278,-113.9682
T3A,50.6,4,8.1,30.9,66.2,38.9,30.2,24.1,29.3,51.1264,-114.1419
T3B,43.3,2.8,6.5,23.1,45.2,26.2,27.4,10.6,5.8,51.0915,-114.2073
T3C,42.8,4.4,6.8,27.6,42.4,35,23,24.8,24,51.0497,-114.1394
T3E,43.2,3.2,7.9,30.6,50.8,40,32.4,11.8,22.1,50.9899,-114.1574
T3G,51,4.2,7.6,34.3,51.5,32.8,23,15.5,18.5,51.1387,-114.2015
T3H,53.8,3.9,8.1,30.5,43.6,48.8,28.5,20.3,20.3,51.0419,-114.2
T3J,39.6,3.5,8.1,46.8,32.6,57.4,45.9,28.3,39.4,51.1188,-113.9471
T3K,43.8,3.1,7.6,30.8,46.3,33.4,20.7,6.5,14.2,51.1563,-114.0572
T3L,47.7,5.5,7.9,31.1,50.9,39.2,31.6,15.2,14.8,51.1467,-114.3133
T3M,45.6,4.4,8.4,33.6,59.9,43.7,29.6,18.2,20.3,50.8796,-113.9555
T3N,26.8,3.8,7,37.2,50,51.5,47.8,38.7,26.3,51.1626,-113.9537
T3P,44.7,4,9,49,67.7,41.3,32.7,7.7,19.7,51.2074,-114.1348
T3R,38,6,9.5,71,29,68.5,38,26,22,51.2021,-114.2453
T3S,38,5,8.3,92.7,83,84.7,68.3,81.7,82.7,50.9153,-113.8932
T3Z,58,6,9,13,85.5,20.5,22.5,15,51.5,51.0691,-114.4727
T4A,45.2,4.2,6.5,35,49.5,52.8,33.3,16.2,29.5,51.2799,-113.988
T4B,41.5,4.3,6.6,25.4,50.5,32.6,32.7,24.5,33.5,51.3082,-114.0398
T4C,45.8,2.9,7,38.9,63.1,51.3,30.7,21.9,30.9,51.1834,-114.4687
T4H,46.5,1,5.5,0.5,31.5,63,13.5,0,0,51.7834,-114.102
T4L,50.5,4.8,8.5,28.8,52.5,20.2,13.2,6.8,18.2,52.4668,-113.7353
T4M,40,4,7.5,38,65,49,13,15,12,52.3834,-113.7853
T4N,45.7,2.7,6.6,44,45.4,47.6,28.6,27.3,28.8,52.2316,-113.8358
T4P,50.4,3.9,6.8,21.5,56.1,30.2,16.5,13.4,29.8,52.2954,-113.8073
T4R,51,2.8,6.4,19.6,29.2,32.4,23.6,10.6,16.8,52.2424,-113.7784
T4S,71,3,6,1,52,0,0,1,1,52.3168,-114.0853
T4T,63.3,2,6.7,7.3,55.7,48.7,18,14.7,16.3,52.3668,-114.9188
T4V,52.2,5.2,8.8,17.5,59,18,25.5,7,21.5,53.0168,-112.8353
T4X,49,4.3,7,20,83,30.7,25.7,31.3,60.3,53.3501,-113.4187
T5A,32.3,3.6,6.9,47.7,49.4,62,36.5,38.8,45,53.5931,-113.4077
T5B,45.4,2.4,7.2,51.8,51.4,64.6,27.2,15.8,8.8,53.7353,-113.3369
T5C,35.8,4.5,7.2,57.6,45.6,51.6,45.5,40.4,40.1,53.5996,-113.4549
T5E,42.8,3.8,7,40.8,56.6,45.6,31.7,20.9,27.1,53.7454,-113.4465
T5G,41.5,2.8,6.2,32,78,60.2,36.8,48.8,55,53.5705,-113.5051
T5H,44.8,3.9,7.3,54.7,59.7,49.1,45.4,33.9,42.5,53.5514,-113.4916
T5J,38,4.2,7.8,79.3,68.2,77.8,78.5,77.8,77.3,53.5428,-113.4974
T5K,51.8,3.6,7.8,55.1,40.7,53.2,37.9,21.3,26.8,53.5366,-113.5103
T5L,43.8,3.5,8,51,47,64.8,15.5,17,19.2,53.585,-113.5526
T5M,50.4,1.6,6.4,26.6,50,31.9,33,19.9,41.6,53.563,-113.5662
T5N,48.4,4.2,7.5,45.4,42.8,40,37.8,24.2,29.9,53.5436,-113.5574
T5P,50,3.5,7.2,51.4,58.6,49.2,40.5,32.6,37.8,53.5463,-113.5957
T5R,45.7,2.6,7.6,28.5,37.9,54.2,28.3,15.7,12.5,53.5181,-113.5797
T5T,44.1,3.5,7.3,44.3,47.3,44.3,26.6,18.9,21.8,53.5185,-113.6579
T5W,51.1,3.1,7.4,38.9,36.3,56.3,22.9,4.4,23.3,53.5645,-113.4022
T5X,52.5,3.9,7.8,13.8,57.8,36.4,14.6,13.5,16,53.6313,-113.5245
T5Y,45.2,2.9,6.6,36.7,44.7,38.9,25.8,11.2,19.6,53.6585,-113.3614
T5Z,34.6,4.1,7.5,35.3,29.1,57.7,23.6,9.8,15.2,53.6365,-113.4673
T6A,48,4.4,9,57.4,33.4,37,36.4,28.4,14.2,53.5482,-113.4318
T6B,45.5,3.5,7.5,35,26.8,62,25.5,19,30.2,53.5128,-113.4194
T6C,44.3,3.7,8.1,55.7,36.4,74.3,51.1,31.3,32.9,53.522,-113.459
T6E,44,3.1,7.2,60.6,14.1,65.6,35.4,22.1,9.4,53.4914,-113.4802
T6G,32.2,3.2,7.3,29,64.7,41.2,32.7,19.7,19,53.521,-113.5324
T6H,55,4.2,8.5,50.1,50,41.6,31.4,23.9,25.1,53.3753,-113.4585
T6J,47.5,3.5,8.2,45.1,34.7,54.4,42.8,15.8,21,53.4564,-113.521
T6K,42.4,3.4,6.9,52.9,77.2,56.8,54.1,53.1,61,53.4609,-113.4519
T6L,39.8,3.8,7.7,32.9,50.5,22.4,25.7,15.9,30,53.4593,-113.4145
T6M,44,4.2,8.5,23.5,64.3,31.5,14.7,12.5,24.5,53.4593,-113.6546
T6R,48.2,4.2,7.8,38.2,50.5,37.3,26.5,24.8,27.1,53.4567,-113.5801
T6T,22,2,8,52,54,52,22,42,34,53.4617,-113.371
T6V,45.4,2.4,8.5,44.9,44.8,47.2,16.2,11,30.1,53.6112,-113.5746
T6W,44.3,3.6,7.7,34.3,42.3,51.1,21.7,14,28,53.4179,-113.5785
T6X,38.6,3.9,7.3,32,44.9,45.7,30.6,28.1,30.7,53.4154,-113.4178
T7A,59.6,3.4,6.8,35,55.6,33.8,35.2,16.6,34.6,53.2168,-114.9854
T7N,59.7,2,7,11,82,2,28.7,12,22.7,54.1334,-114.4021
T7P,62,2,7,32,99,53,28,0,21,54.1502,-113.8688
T7S,46.2,4.8,7.4,41.8,39,45.8,16.8,2.4,33.4,54.1501,-115.6855
T7V,30,6,11,55,39,91,85,26,17,53.4001,-117.5857
T7X,50.4,3.1,7,29.4,60.5,35.5,28.5,21.4,27.8,53.5334,-113.9187
T7Y,44,5,7.7,16.3,54.7,10.7,24.7,7,19.3,53.4184,-113.8097
T7Z,52,4.2,7,16.8,61.4,11.2,28.6,1,15.8,53.5334,-114.0021
T8A,50,3.5,7.1,18,42.1,31.7,20.9,4.1,11.5,53.528,-113.2512
T8B,64,7,5,100,0,15,5,2,0,53.4397,-113.2952
T8H,52,3.9,7,33.2,49.8,38.2,39.1,26.6,42,53.556,-113.2952
T8L,57.2,2.8,6.2,5.2,42.4,17.2,9,1.2,26.4,53.7168,-113.2187
T8N,55.4,4.1,7.7,31.2,53.7,33.4,16.3,14.4,18.9,53.6334,-113.6353
T8R,41.8,4.2,5.8,12,58.8,17,19.4,2.4,17.2,53.8001,-113.652
T8S,40.5,1.5,5,7,49,16,27.5,25,51.5,56.2501,-117.286
T8V,58.5,3.3,7.2,37.2,45.5,46.2,31.7,11.8,21.2,55.1808,-118.9103
T8W,29,1,4.5,25,50,25,25,25,25,55.1303,-118.7946
T9A,60.5,1.8,7.5,27.8,21.2,45.8,11,2.2,10.5,52.9668,-113.3687
T9E,43.2,3.8,7.2,42.8,56.7,47.9,38.9,21.1,27.3,53.2668,-113.552
T9G,40.8,2.5,5.8,28.3,76,22.2,31.8,17.7,51.5,53.3668,-113.7353
T9H,32,4,6,70.5,30,87.5,29,17.5,47,56.664,-111.1357
T9J,51,3,10,0,100,0,0,0,0,56.707,-111.3771
T9K,42,4.7,9,32.2,78.8,42,31.5,26.5,31.7,56.7538,-111.435
T9M,44.8,3.3,7.5,46.7,51.7,47,38.7,14.2,23.5,54.4502,-110.2017
T9N,34,1,5,71,32,35,78,66,68,54.2668,-110.7351
T9S,50.2,4.8,6.5,1.5,68.2,4.2,24,9.2,13.5,54.7169,-113.2854
T9V,41.3,2.7,7.7,59,69.7,52,46.3,57.3,59.7,53.2717,-110.0853
T9W,65,3,7,0,35,25,5,1,25,52.839,-110.8572
T9X,61.5,5.5,7,36.5,86.5,27.5,2,2,2.5,53.3669,-110.8517
V0A,38,7,10,4,6,3,4,1,5,51.2994,-116.939
V0B,64,2,9,40,41,46,42,47,41,49.6775,-115.5636
V0C,51,1.5,5,65.5,23,27.5,60.5,7,14.5,58.3874,-125.7167
V0E,48.7,3,7.3,43,44.3,19.3,17,28.7,26.7,51.505,-119.2034
V0G,63,2,5,0,80,5,5,5,5,50.053,-117.4291
V0H,58,3.7,7,0,69.3,39.7,0.3,0.3,6.3,49.4089,-119.0054
V0J,65,1,4,0,0,90,20,0,20,55.9964,-126.8574
V0K,71,2,5,57,100,8,8,8,64,51.4367,-121.6384
V0M,63,2,5,0,15,100,35,0,10,49.6346,-122.038
V0N,33.5,2,6.5,32,0,13.5,39,13,25,51.2944,-126.0745
V0R,55.7,3.3,6.7,30,55.3,45,48,16.7,19.3,49.027,-124.8461
V0X,66.3,1.3,6.3,30.7,45.7,47.7,24,5.3,17.3,49.3688,-120.6569
V1A,61,4,9,59,24,29,19,22,2,49.6832,-115.9855
V1C,36,4,7,5,85.5,18.5,22,15.5,62.5,49.4999,-115.7688
V1G,35.5,2,4.5,15,45.5,13.5,48.5,0,3,55.7666,-120.2362
V1J,58,2,7,31,80,26,37,26,32,56.2499,-120.8529
V1L,71,2,7,1,5,38,54,1,2,49.4999,-117.2855
V1N,61,3,6,4,81,1,2,2,8,49.2998,-117.6689
V1R,46,1,4,6,97,26,12,16,80,49.0998,-117.7022
V1T,55,5,7,54,20,33.5,37.5,12.5,13,50.2604,-119.2774
V1V,58,6,9,79,73,67,30,30,65,49.9497,-119.4339
V1W,21,8,5,9,9,16,28,35,32,49.812,-119.5076
V1X,54,1,8,12,10,55,50,0,49,50.0528,-119.2858
V1Y,43,3.7,7.3,26,17.7,13.3,18,10,10.3,49.8928,-119.4852
V1Z,61,2,7,40,0,48,48,0,0,49.8625,-119.5833
V2A,66.8,3.6,7.6,33,43.8,26.4,12,13.6,6.6,49.4806,-119.5858
V2B,45,2,8,25,60,40,40,40,40,50.8869,-120.7357
V2C,26.5,5,9,25,2,37,40,24,1,50.5437,-120.0937
V2G,48.5,6,5,48.5,8,12.5,27,0,6.5,52.1415,-122.1445
V2K,65,4,7,49,4,27,19,20,3,54.0508,-122.9221
V2M,56.3,2,5,44,53.7,53,48.7,26,29.3,53.9127,-122.8708
V2P,50,2,5.7,22,49.7,9,41.7,18.7,43.3,49.1838,-121.9046
V2R,61.5,4.5,8.5,70.5,32,61,16.5,1,2.5,49.076,-121.9883
V2S,44,4,7.5,6.2,61.2,40.3,13.8,6,3.8,49.0423,-122.2835
V2V,53.8,3.2,5.8,28,39.5,39.2,39,23,35.8,49.6463,-122.5047
V2W,33,4,8,50,32,2,83,1,8,49.2068,-122.4851
V2X,48.8,3.2,6.8,36.8,13.2,43,50.2,17.2,15.8,49.2196,-122.6164
V2Y,38.5,5,8,98,2,22,49,28,2,49.1285,-122.6236
V2Z,66,6,7,2,38,5,12,13,45,49.0483,-122.5997
V3B,34.8,4.5,8.8,52.8,33.8,47.5,33.8,24.8,39.8,49.274,-122.7649
V3C,39.3,4,8,69.7,37,32.3,19,9,2.7,49.2436,-122.7865
V3E,65,5,7,10,80,10,45,1,0,49.3167,-122.7384
V3H,62.7,5.7,6.7,33,38,33,28.7,24,25.7,49.3231,-122.8626
V3J,25.5,2.5,5,35,29,31.5,6,2,11.5,49.265,-122.8716
V3L,46,4.3,7.3,58,37,72,58.3,21,23,49.2201,-122.8998
V3M,54.5,5.5,7,24.5,47,43.5,57,14.5,39,49.1886,-122.9384
V3N,41.7,3.3,5.7,74.3,18.3,65.7,42,31,6.3,49.2275,-122.9301
V3R,21,8,8,75,30,60,50,30,40,49.1948,-122.8131
V3S,43,4,8.4,26.4,29.4,32.2,20.8,8.2,12,49.0791,-122.7553
V3T,27,3.5,5,7.5,40.5,55,8,4.5,8,49.1894,-122.8454
V3V,33.5,3.5,6.5,66,14.5,57,46,0.5,5.5,49.1889,-122.873
V3W,44.3,3.7,7.5,46.5,44.5,67.2,54.5,32.8,27.2,49.141,-122.8569
V3Y,42,2,4,3,68,78,63,13,69,49.2212,-122.6896
V3Z,41,6,10,55,50,60,40,0,0,49.1064,-122.8251
V4B,68.3,2,5.7,29.3,53.7,50,49.7,10.3,26.7,49.0259,-122.8058
V4E,55,1,5,5,5,0,0,1,0,49.1197,-122.9056
V4G,29,3,6,2,97,0,91,30,96,49.1464,-123.0137
V4L,44,4,9,5,60,3,2,30,3,49.0418,-123.0591
V4M,51,6,6,70,12,49,60,11,1,49.0331,-123.0877
V4N,35.8,4.8,7,25.5,51.5,28,37.5,18,37.7,49.1707,-122.7326
V4R,44.5,3,9.5,32.5,87.5,0,7,30,22.5,49.2903,-122.5169
V4T,50,3,7.3,24,22.7,20.7,18.3,2,3.7,49.866,-119.7387
V4W,52,1.5,6,0,1.5,10.5,27.5,0,0,49.0713,-122.4977
V4X,22,8,7,0,0,0,0,0,0,49.0861,-122.4026
V5A,54,4.7,7,36.3,27.3,36.7,29.3,15,15,49.264,-122.9369
V5C,52,5,9,66,19,47,57,31,0,49.274,-123.0074
V5E,45,4.3,7,43.3,50.3,51.3,41.7,20.3,33,49.2272,-122.9574
V5H,43.5,3,7,44.5,55.2,52.7,27.2,8,7.8,49.2302,-122.9952
V5K,45.5,2.8,9,58.5,47.8,45.2,33.8,39.8,39.2,49.2807,-123.0397
V5L,64.3,3.7,9,70.7,6,68.7,48.7,3.3,1.3,49.2795,-123.0667
V5M,41,3,9,5,50,10,50,50,50,49.26,-123.0398
V5N,41.5,3,7.5,76.5,27.5,92,11,0.5,0.5,49.2551,-123.0667
V5P,57.5,3.8,8.5,77.5,18.8,66.8,22.5,16,30,49.222,-123.0683
V5R,57.5,3.5,6,35,50.5,44.5,70.5,25.5,40.5,49.2397,-123.0407
V5S,49.5,4,11,67.5,53,49,41,27,36,49.2175,-123.038
V5T,56,3.2,7.6,41.8,25.4,56.4,36.8,20.4,15.2,49.262,-123.0923
V5V,28,3,9,27,28,82,76,3,11,49.248,-123.0913
V5W,30,6,11,40,20,40,30,0,0,49.2327,-123.0917
V5X,52,4.3,7.7,60,24,67.3,14.7,6.7,8.7,49.2156,-123.0979
V5Y,46.3,2.3,6.7,42,54,47.7,23,44,30,49.2492,-123.1104
V5Z,35,5.5,9,33.5,31,75,25,13.5,13,49.2475,-123.121
V6B,30,6,8.5,85.5,36.5,63,25,14,11,49.2788,-123.1139
V6E,23,5,3,92,7,26,65,15,0,49.2833,-123.1298
V6G,51.2,3.8,8.8,44.8,26.8,51,23,26,29.2,49.299,-123.1408
V6J,42,3,7,17,3,46.5,55.5,3.5,5,49.2603,-123.146
V6M,56,1,8,83.5,57,47.5,45,10,42,49.2344,-123.1451
V6N,38,1,9,72,45,75,55,46,48,49.2302,-123.189
V6P,53.7,4.7,8.3,46,39.3,35.7,34,25.7,9.7,49.2151,-123.1396
V6R,68,3,10,25,15,80,50,25,0,49.2666,-123.1976
V6S,23,1,9,18,32,56,48,48,33,49.2491,-123.2088
V6T,35,6,9,4,47,47,47,48,46,49.4635,-122.822
V6V,39.7,3,8.3,59.7,42.7,44.7,43.3,27.7,38.7,49.1853,-123.0386
V6X,46.2,3.8,9.6,54,40.6,35.8,40.6,16.2,16.8,49.1836,-123.1168
V6Y,56.3,2.7,8,27.7,33,42.3,34.7,32,3.7,49.17,-123.1368
V7A,45,3.8,7.5,21.2,33,54.5,29.8,12,29.5,49.1205,-123.1171
V7C,61.5,4.2,9.2,23.5,70.2,47,46.8,26.5,27,49.1626,-123.1721
V7E,34,4.5,9,9.5,32,49,42,16.5,39.5,49.1323,-123.1705
V7L,68,3,9,50,3,35,64,16,18,49.316,-123.0576
V7M,47.8,2,8.5,69.2,46.8,43.5,42.2,25,30.2,49.3222,-123.0834
V7N,80,7,8,60,50,50,20,20,20,49.35,-123.0679
V7P,63,3,9,78,13,95,71,33,7,49.322,-123.1149
V8L,76,5,10,50,52,52,74,27,47,48.6496,-123.4026
V8N,39,4,7.5,71,32,62.5,55,25,7.5,48.4765,-123.3145
V8R,77,3,11,70,19,66,19,1,1,48.4496,-123.3026
V8T,49,2,8.5,50,19,70.8,50.5,19.2,16.2,48.4392,-123.3566
V8V,49.3,2.7,8.7,50.9,23,57,35.6,24.7,18.7,48.4167,-123.365
V8W,57,5,7,67,4,82,86,4,6,48.4267,-123.3655
V8X,30,1,5,25,18,29,20,24,20,48.4777,-123.3658
V8Z,74.7,3.7,8.3,30.7,11.7,56.3,49,11.7,3.3,48.4993,-123.4003
V9A,71.5,3.5,8.5,42,51.5,37,15.5,33.5,0.5,48.4496,-123.4193
V9B,49,6,11,6,62,79,52,50,33,48.4793,-123.5271
V9G,36,2,6,0,7,0,2,0,9,48.9829,-123.8194
V9L,61,3,7,14,94,47,46,15,47,48.7829,-123.7027
V9M,24,6,5,80,37,100,52,15,7,49.6829,-124.9361
V9N,72,6,6,29,45,51,17,4,6,49.6585,-124.9835
V9R,46,1.5,7.5,62,27,38.5,46.5,49,31,49.1609,-123.9825
V9S,47,2,10,2,1,69,66,6,0,49.1886,-123.963
V9T,34,3,7,0,85,0,10,0,1,49.2146,-124.02
V9V,44,4,5,6,85,48,47,48,49,49.2391,-124.0227
V9W,47.5,2,7.5,25,63,51,68,25,24,50.0769,-125.5909
V9X,55,6,5,39,17,46,44,19,24,49.0419,-123.979
V9Y,58,2.3,7.7,35.3,59.3,26,36,5.7,6,49.2413,-124.8028
X0A,52,7,5,0,0,0,0,0,0,79.6218,-76.7765
X1A,49,6,9.5,91.5,1,54,0,0,0,62.456,-114.3525
Y1A,50.3,3.7,9,46.3,41.7,53,56.7,25,17,60.7161,-135.0537
