FSA,age,income,education,lib_like,cpc_like,ndp_like,grn_like,bq_like,ppc_like,latitude,longitude
G5Y,41.5,2,5.2,55.3,37.2,38.5,38.2,41.2,40.2,46.1326,-70.6375
G6B,67,2,7,47,60,21,34,67,27,45.5834,-70.8823
G6E,35,2,7,58,63,53,56,57,70,46.434,-71.0117
G6K,49,3,5,85,79,75,60,80,70,46.688,-71.3028
G6P,54,1,5,52,0,0,0,0,0,46.0529,-71.9477
G6T,42,5.5,9.5,64,7,41.5,29,47,0,46.0828,-71.9728
G6V,65.8,3,7,21.8,61,22.6,26,49.2,32.2,46.8033,-71.1779
G6W,45,2,7,5,82,3,12,8,71,46.7546,-71.22
G6X,71,1,5,94,5,4,8,93,0,46.7151,-71.2612
G6Z,39,4,7,34.5,15.5,43,30.5,30.5,19,46.6901,-71.1849
G7A,69.5,3,8,13,12.5,17,11,65.5,13.5,46.6842,-71.3827
G7B,64,3,7,26,15,25,29,60,14,48.3398,-70.8893
G7G,32,5,8,16,20,27,38,62,21,48.445,-71.1025
G7H,48.7,2.7,7.7,44.2,39.2,66.2,28.2,20,18.8,48.4187,-71.0417
G7J,61,1.5,5.5,70.5,22,15.5,16.5,51.5,11.5,48.4175,-71.1031
G7S,73,3,5,0,0,0,0,10,100,48.4294,-71.1774
G7X,57.2,2.6,6.8,49.4,47.4,55.4,67.6,57.2,27.4,48.3199,-71.4149
G7Z,18,5,6,54,79,95,73,69,5,48.4381,-71.2642
G8C,43,5,7,0,0,0,0,100,0,48.5278,-71.6364
G8G,66,3,9,62,1,89,89,98,2,47.8076,-71.5907
G8K,64,2,7,31,43,60,58,50,43,48.6501,-72.4491
G8L,43.5,3,6,7.5,36.5,6.5,11.5,9,10.5,48.8763,-72.212
G8T,30.7,3.3,5.7,56.7,22.3,50,70.3,48.3,32.7,46.3877,-72.5357
G8W,48,5,6.5,59,27.5,56.5,4.5,46,12.5,46.4176,-72.637200000000007
G8Y,49.7,3.3,8.7,38,50.7,46,10.7,53,10.3,46.3668,-72.6168
G9A,76,2,10,45,2,83,1,72,0,46.3695,-72.6789
G9N,55,1.3,5.7,60,45.3,37.7,34.7,68.7,31.3,46.5564,-72.7198
G9T,67.3,2.3,8,65.3,5,51.7,35.3,73,3,46.6315,-72.737
